Summary stage 2000 (1998+)	Race recode (W, B, AI, API)	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	Black	2006	01-04 years	0.0	0	644874	15191619
Localized	Black	2006	05-09 years	0.0	0	833259	19919840
Localized	Black	2006	10-14 years	0.0	0	926401	20056779
Localized	Black	2006	15-19 years	0.0	0	935953	19819518
Localized	Black	2006	20-24 years	0.2	2	801496	18257225
Localized	Black	2006	25-29 years	0.7	5	744424	17722067
Localized	Black	2006	30-34 years	1.3	9	701756	19511370
Localized	Black	2006	35-39 years	3.1	23	747341	22179956
Localized	Black	2006	40-44 years	8.1	63	781280	22479229
Localized	Black	2006	45-49 years	10.6	79	743059	19805793
Localized	Black	2006	50-54 years	29.2	184	630325	17224359
Localized	Black	2006	55-59 years	46.8	242	516657	13307234
Localized	Black	2006	60-64 years	58.7	201	342230	10654272
Localized	Black	2006	65-69 years	92.8	244	262911	9409940
Localized	Black	2006	70-74 years	115.5	234	202602	8725574
Localized	Black	2006	75-79 years	126.9	188	148109	7414559
Localized	Black	2006	80-84 years	133.2	134	100617	4900234
Localized	Black	2006	85+ years	135.7	114	84022	4259173
Localized	Black	2007	00 years	0.0	0	171087	3794901
Localized	Black	2007	01-04 years	0.0	0	650645	15191619
Localized	Black	2007	05-09 years	0.0	0	836558	19919840
Localized	Black	2007	10-14 years	0.0	0	913498	20056779
Localized	Black	2007	15-19 years	0.1	1	963705	19819518
Localized	Black	2007	20-24 years	0.2	2	811561	18257225
Localized	Black	2007	25-29 years	0.3	2	764675	17722067
Localized	Black	2007	30-34 years	0.6	4	700076	19511370
Localized	Black	2007	35-39 years	3.1	23	752111	22179956
Localized	Black	2007	40-44 years	6.6	51	774584	22479229
Localized	Black	2007	45-49 years	13.0	98	755114	19805793
Localized	Black	2007	50-54 years	36.4	240	659946	17224359
Localized	Black	2007	55-59 years	42.9	229	534000	13307234
Localized	Black	2007	60-64 years	60.1	222	369187	10654272
Localized	Black	2007	65-69 years	97.8	266	271926	9409940
Localized	Black	2007	70-74 years	104.6	216	206433	8725574
Localized	Black	2007	75-79 years	118.1	177	149925	7414559
Localized	Black	2007	80-84 years	128.3	131	102096	4900234
Localized	Black	2007	85+ years	108.7	95	87392	4259173
Localized	Black	2008	00 years	0.0	0	173111	3794901
Localized	Black	2008	01-04 years	0.0	0	668705	15191619
Localized	Black	2008	05-09 years	0.0	0	837955	19919840
Localized	Black	2008	10-14 years	0.0	0	900211	20056779
Localized	Black	2008	15-19 years	0.0	0	980961	19819518
Localized	Black	2008	20-24 years	0.5	4	827413	18257225
Localized	Black	2008	25-29 years	0.4	3	778920	17722067
Localized	Black	2008	30-34 years	1.3	9	706260	19511370
Localized	Black	2008	35-39 years	2.1	16	751071	22179956
Localized	Black	2008	40-44 years	5.1	39	765461	22479229
Localized	Black	2008	45-49 years	11.1	85	765511	19805793
Localized	Black	2008	50-54 years	36.7	252	686447	17224359
Localized	Black	2008	55-59 years	38.8	214	551763	13307234
Localized	Black	2008	60-64 years	57.1	225	394289	10654272
Localized	Black	2008	65-69 years	84.1	239	284118	9409940
Localized	Black	2008	70-74 years	103.9	219	210864	8725574
Localized	Black	2008	75-79 years	116.1	176	151628	7414559
Localized	Black	2008	80-84 years	125.6	130	103489	4900234
Localized	Black	2008	85+ years	131.7	119	90358	4259173
Localized	Black	2009	00 years	0.0	0	172114	3794901
Localized	Black	2009	01-04 years	0.0	0	686068	15191619
